epoch,train_f_loss,retain_loss,forget_acc,retain_acc,reg_loss
1,8.547439468238956,1.1916393103599547,0.3,67.0,9.092629855807917
2,1.1141209154060059,1.3310600376129151,0.0,67.4,15.04696298485665
3,0.5229217169706336,1.6005884046554566,0.0,68.0,17.179060484449906
4,0.3326115913094145,1.8622935762405395,0.0,68.425,18.69540189357698
5,0.25616407326999713,2.10097703742981,0.0,67.72500000000001,19.819401419516765
6,0.21974427016501538,2.308871618270874,0.0,67.425,20.734642764278
7,0.19827101035363162,2.4760846138000487,0.0,66.925,21.533593931314044
8,0.18321519848667195,2.62647004699707,0.0,66.05,22.264167499791697
9,0.17002870366699532,2.7634355354309084,0.0,65.325,22.975642331803208
10,0.1562386070110006,2.8922712802886963,0.0,64.7,23.708324439123164
11,0.14181098238305506,3.009945575714111,0.0,64.47500000000001,24.48055944253452
12,0.1284927039957905,3.107725580215454,0.0,64.75,25.258975206108932
13,0.11645619063803665,3.194091491699219,0.0,64.425,26.050766615450133
14,0.10457556427057055,3.2657999420166015,0.0,63.9,26.882955369774717
15,0.09304498050979218,3.3327486972808837,0.0,62.525,27.741558552742152
16,0.07580842682009827,3.406965404510498,0.0,62.35000000000001,28.76623557813169
17,0.06155842890930572,3.47531854057312,0.1,61.85000000000001,29.72711486804667
18,0.05200527267048204,3.519258901596069,0.1,62.050000000000004,30.607040174008517
19,0.04675275982251661,3.5560722999572754,0.0,61.45,31.379983674527903
20,0.04295593639656587,3.5900801334381103,0.0,61.45,32.13213692586006
